PK	NOMBRE	DESCRIPCION-ENTIDAD	HORARIO	EQUIPAMIENTO	TRANSPORTE	DESCRIPCION	ACCESIBILIDAD	CONTENT-URL	NOMBRE-VIA	CLASE-VIAL	TIPO-NUM	NUM	PLANTA	PUERTA	ESCALERAS	ORIENTACION	LOCALIDAD	PROVINCIA	CODIGO-POSTAL	BARRIO	DISTRITO	COORDENADA-X	COORDENADA-Y	LATITUD	LONGITUD	TELEFONO	FAX	EMAIL	TIPO	
178423	Instalaci�n Deportiva Municipal B�sica Montecarmelo			Pista de baloncesto. Campo de f�tbol 7 (c�sped artificial). Pista de f�tbol sala	Bus: 704		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc56395961e4f010VgnVCM2000000c205a0aRCRD	MONASTERIO DE EL PAULAR	CALLE	V	138					MADRID	MADRID	28049	MIRASIERRA	FUENCARRAL-EL PARDO	440643	4483540	40.500438927851775	-3.700512809058562	S/T			/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
10966950	Instalaci�n Deportiva Municipal B�sica Montecarmelo McDonald�s			Pista polideportiva.	Bus: 704		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4f9419106482b610VgnVCM2000001f4a900aRCRD	MONTECARMELO	AVENIDA	V	1					MADRID	MADRID	28049	MIRASIERRA	FUENCARRAL-EL PARDO	440948	4483692	40.50184008646731	-3.6969247603864392	S/T			/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
5870223	Instalaci�n Deportiva Municipal B�sica Mozart			1 Campo de f�tbol 7	Metro: Pr�ncipe P�o.Bus: 25 , 33 , 39 , 41 , 46 , 62 , 75 , 138 , C.Renfe: Pr�ncipe P�o.		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3416f80f8de5c210VgnVCM1000000b205a0aRCRD	MOZART	CALLE	V	s/n					MADRID	MADRID	28008	CASA DE CAMPO	MONCLOA-ARAVACA	438926	4475306	40.4242665417876	-3.7212709022034463				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4528327	Instalaci�n Deportiva Municipal B�sica M�rtires Maristas			1 Pista de baloncesto.	Metro: ValdezarzaBus: 64 , 82 , 126 ,  127 , 132 , 137.		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=745473fc54ff0110VgnVCM1000000b205a0aRCRD	MARTIRES MARISTAS	AVENIDA	V	2				c/v Antonio Machado	MADRID	MADRID	28035	CIUDAD UNIVERSITARIA	MONCLOA-ARAVACA	439086	4479520	40.46223975914155	-3.719777931388968				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4541310	Instalaci�n Deportiva Municipal B�sica Nevado de Cumbal			1 Campo de f�tbol 11 de c�sped artificial (con 2 marcajes de f�tbol 7)	Metro: Mar de CristalBus: 87 , 104 , 112 ,  120 , 125 , 153 , 172		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c03a3c00a6a51110VgnVCM1000000b205a0aRCRD	NEVADO DEL CUMBAL	CALLE	V	4					MADRID	MADRID	28033	PINAR DEL REY	HORTALEZA	446493	4480037	40.469280016703586	-3.63118145043629				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4557490	Instalaci�n Deportiva Municipal B�sica Nicolasa G�mez			1 Pista polideportiva	Metro: Torre AriasBus: 77 , 105 , 140 , 153		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0afcfc5e5ae1110VgnVCM1000000b205a0aRCRD	NICOLASA GOMEZ	CALLE	V	1					MADRID	MADRID	28022	CANILLEJAS	SAN BLAS-CANILLEJAS	447943	4477482	40.44448358264842	-3.615148388183279				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4583223	Instalaci�n Deportiva Municipal B�sica Novecento			3 Pistas de baloncesto	Bus: 10, 57 , 102 , 136 , 144 , 310Renfe: El Pozo		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2444df453adb2110VgnVCM1000000b205a0aRCRD	NOVECENTO	CALLE	V	6					MADRID	MADRID	28018	PALOMERAS BAJAS	PUENTE DE VALLECAS	444619	4470066	40.37746079137422	-3.653695563861612				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4555858	Instalaci�n Deportiva Municipal B�sica Nuestra Se�ora de Loreto			1 Pista de baloncesto	Metro: BarajasBus: 101 , 105 , 115 , 151		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=50e8afe6d20e1110VgnVCM1000000b205a0aRCRD	TIMON	CALLE	V	16					MADRID	MADRID	28042	TIMON	BARAJAS	450343	4480383	40.472636002948775	-3.585807144623962				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
6206650	Instalaci�n Deportiva Municipal B�sica Nuestra Se�ora de la Paloma			1 Pista Polideportiva	Metro: DeliciasBus: 8 , 19 , 45 , 47 , 59 , 62 , 76 , 85 , 86 , 247Renfe: Delicias		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8163d840e4623310VgnVCM2000000c205a0aRCRD	SAN FRANCISCO	CARRERA	V	4					MADRID	MADRID	28005	PALACIO	CENTRO	439570	4473641	40.411196405684876	-3.712232920009733				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4542521	Instalaci�n Deportiva Municipal B�sica Nueva Esperanza			1 Pista de polideportiva1 Pista de patinaje	Metro: Villaverde Bajo CruceBus: 18 , 22 , 76 , 86 , 116 , 130Renfe: Puente Alcocer		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e5fbfdaa18e61110VgnVCM1000000b205a0aRCRD	ANOETA	CALLE	V	1					MADRID	MADRID	28041	LOS ANGELES	VILLAVERDE	441085	4467127	40.35262335736215	-3.6937759829159402				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4660151	Instalaci�n Deportiva Municipal B�sica Ontanilla			1 Campo de f�tbol 7	Metro: Pan BenditoBus: 108 , 116 , 118 , 121 , 131 , 155		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7036d915a1f65110VgnVCM1000000b205a0aRCRD	LOS POBLADOS	AVENIDA	V					C/V Ontanilla	MADRID	MADRID	28025	ABRANTES	CARABANCHEL	438264	4469788	40.37450904700692	-3.728526373827137				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
6342577	Instalaci�n Deportiva Municipal B�sica Orcasur			2 Pistas Baloncesto2 Pistas Balonmano	Bus: 81 , 121		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2058da3da4ce5310VgnVCM1000000b205a0aRCRD	ORCASUR	AVENIDA	V	53					MADRID	MADRID	28041	ORCASUR	USERA	440522	4468768	40.36548482367132	-3.7018344445764195				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4555889	Instalaci�n Deportiva Municipal B�sica Ori�n-Jupiter			1 Pista de f�tbol sala	Metro: BarajasBus: 101 , 105 , 115 , 151		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=52e3b49e430e1110VgnVCM1000000b205a0aRCRD	ORION	CALLE	V	52					MADRID	MADRID	28042	CASCO H.BARAJAS	BARAJAS	450837	4480780	40.47625087283375	-3.579998848197848				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4564065	Instalaci�n Deportiva Municipal B�sica Oscar y Jes�s			1 Campo de f�tbol (de tierra) 1 Pista de f�tbol sala (con equipamiento para baloncesto tambi�n) Tenis de mesa	Bus: 17 , 34 , 39 , 117, 139		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98bb53a201322110VgnVCM1000000b205a0aRCRD	SOLEDAD CAZORLA	CALLE	V	22					MADRID	MADRID	28044	LAS AGUILAS	LATINA	434561	4469726	40.375549835763444	-3.770874016639184				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4557531	Instalaci�n Deportiva Municipal B�sica Oyarzun			2 Pistas de petanca1 Campo mini golf	Bus: 6 , 60 , 78 , 81 , 116 , 131		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=494c39d8c6ae1110VgnVCM1000000b205a0aRCRD	OYARZUN	PLAZA	V	1					MADRID	MADRID	28041	ORCASITAS	USERA	439322	4469089	40.36828992969283	-3.7159977494418186				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4544631	Instalaci�n Deportiva Municipal B�sica P.A.R. Antonio L�pez			1 Pista Polideportiva	Metro: Marqu�s de VadilloBus:  23 , 34 , 35 , 116 , 118 , 119		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=647b204ea5971110VgnVCM1000000b205a0aRCRD	ANTONIO LOPEZ	CALLE	V	27					MADRID	MADRID	28019	COMILLAS	CARABANCHEL	439515	4472008	40.39647249197412	-3.7127376145987063				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4549978	Instalaci�n Deportiva Municipal B�sica P.A.R. Avda. Marqu�s de Corbera			1 Pista de patinaje	Metro: La ElipaBus: 15 , 28 , 106 , 110 , 113 , 210		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=120225f8c62a1110VgnVCM1000000b205a0aRCRD	MARQUES DE CORBERA	AVENIDA	V	62					MADRID	MADRID	28017	VENTAS	CIUDAD LINEAL	445014	4475590	40.42725047921714	-3.6495207954387707				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje	 
6296652	Instalaci�n Deportiva Municipal B�sica P.A.R. Ram�n G�mez de la Serna			1 pista de baloncesto	Metro: LacomaBus: 49		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4e76446a13a05310VgnVCM1000000b205a0aRCRD	RAMON GOMEZ DE LA SERNA	CALLE	V	49					MADRID	MADRID	28035	PE�A GRANDE	FUENCARRAL-EL PARDO	438681	4481891	40.483568695572096	-3.7247841639257406				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4556996	Instalaci�n Deportiva Municipal B�sica PAR Manuel Noya			1 Pista de balonmano	Metro: UseraBus: 55 , 60 , 116		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=69561776595e1110VgnVCM1000000b205a0aRCRD	MANUEL NOYA	CALLE	V	2				junto Puente Los Capuchinos	MADRID	MADRID	28026	MOSCARDO	USERA	439676	4471393	40.38907128615593	-3.7120469132313425				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4556602	Instalaci�n Deportiva Municipal B�sica PAR Rafaela Ybarra			1 Pista de balonmano	Metro: Plaza El�pticaBus: 6 , 60 , 78 , 81		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b03e6ec3035e1110VgnVCM1000000b205a0aRCRD	RAFAELA YBARRA	AVENIDA	V	51					MADRID	MADRID	28026	PRADOLONGO	USERA	439743	4470456	40.38063517341089	-3.7111687792815276				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4580267	Instalaci�n Deportiva Municipal B�sica Pablo Casals			1 Pista de F�tbol Sala	Metro: Puerta del �ngelBus: 25 , 31 , 33 , 36 , 39 , 50 , 62 , 65 , 138.		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d75d8672e92b2110VgnVCM1000000b205a0aRCRD	ERMITA DEL SANTO	PASEO	V	10					MADRID	MADRID	28011	PUERTA DEL ANGEL	LATINA	438693	4473970	40.41221418658154	-3.7238765894181416				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
6271846	Instalaci�n Deportiva Municipal B�sica Padre Claret			3 Pistas de F�tbol-Sala.	Bus: 29 , 52 , 70 , 107.		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d6151b0ae3654310VgnVCM1000000b205a0aRCRD	PADRE CLARET	CALLE	V	18					MADRID	MADRID	28002	PROSPERIDAD	CHAMARTIN	443788	4478082	40.44961759191476	-3.6641939594197392				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4546986	Instalaci�n Deportiva Municipal B�sica Padre Dami�n			5 Pistas de P�del	Metro: Santiago Bernab�u , CuzcoBus:  5 , 11 , 14 , 27 , 40 , 126 , 147 , 150.		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cbf5c8d56fd81110VgnVCM1000000b205a0aRCRD	PADRE DAMIAN	CALLE	V	26					MADRID	MADRID	28036	HISPANOAMERICA	CHAMARTIN	441838	4478670	40.45666161091837	-3.6859641722636525				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPadel	 
4582873	Instalaci�n Deportiva Municipal B�sica Palomeras Bajas			1 Campo de f�tbol	Bus: 24 , 57 , 102 , 136 , 144Renfe: El Pozo		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f3800dcb2db2110VgnVCM1000000b205a0aRCRD	PUERTO DE BALBARAN	CALLE	V	s/n					MADRID	MADRID	28053	PALOMERAS BAJAS	PUENTE DE VALLECAS	444050	4470152	40.37819745002066	-3.660405647355635				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
177331	Instalaci�n Deportiva Municipal B�sica Parque Adelfas			1 Campo de F�tbol (de c�sped artificial)  2 Campos de chito  1 Pista de Baloncesto 1 Pista de p�del (cristal) Tenis de mesa	Metro: Conde Casal , Pac�ficoBus: 8 , 10 , 14 , 24 , 32, 37 , 54 , 56 , 57 , 63 , 136 , 141 , 143 , 145 , 310		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=71041c7a2c61c010VgnVCM1000000b205a0aRCRD	MARTINEZ CORROCHANO esquina  con calle Luis Mitjans	CALLE	V	26					MADRID	MADRID	28007	ADELFAS	RETIRO	443258	4472734	40.40327621720137	-3.6686877898019556	"699 354 506 
consulta de informaci�n   
914 338 950 - 914 338 770 
CDM Daoiz y Velarde, gestiones administrativas"		idmdvelarde@madrid.es	/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4629936	Instalaci�n Deportiva Municipal B�sica Parque Agust�n Rodr�guez Sahag�n I			3 pistas f�tbol-sala3 pistas baloncesto	Bus: 49 , 128		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c51553332b794110VgnVCM1000000b205a0aRCRD	CAPITAN BLANCO ARGIBAY	PASEO	V	S/N				Parque A. Rodr�guez Sahag�n	MADRID	MADRID	28039	VALDEACEDERAS	TETUAN	439954	4480105	40.46757296045154	-3.7095960821382836				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4549250	Instalaci�n Deportiva Municipal B�sica Parque Agust�n Rodr�guez Sahag�n II			2 Pistas de f�tbol sala 2 Pistas de baloncesto Pista de patinaje 2 Pistas de bolos y petanca Tenis de mesa	Bus: 49 , 42		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb9f22cad8d91110VgnVCM2000000c205a0aRCRD	SINESIO DELGADO	CALLE	V	30					MADRID	MADRID	28029	ALMENARA	TETUAN	441799	4480811	40.47406445678991	-3.687898995406082				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
6310206	Instalaci�n Deportiva Municipal B�sica Parque Alfredo Kraus			1 Pista de chito	Metro: Mar de Cristal Bus: 8, 4		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8cc23b3737d35310VgnVCM2000000c205a0aRCRD	MAR ADRIATICO	CALLE	V	7					MADRID	MADRID	28033	PINAR DEL REY	HORTALEZA	445842	4480136	40.470138614017166	-3.638880685402964				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
4560975	Instalaci�n Deportiva Municipal B�sica Parque Aluche			1 Campo de f�tbol (de tierra) 1 Campo de f�tbol (de c�sped artificial) 1 Pista de f�tbol sala 3 Pistas de baloncesto 6 Pistas de bolos y petanca 3 Pistas de chito (en recinto cerrado) Tenis de Mesa Circuito de bicicletas	Metro: AlucheBus: 25 , 121, 138		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=228a8244ca902110VgnVCM1000000b205a0aRCRD	VALMOJADO	CALLE	V	4					MADRID	MADRID	28047	ALUCHE	LATINA	435712	4472070	40.396755209740476	-3.757541291696218				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
6308759	Instalaci�n Deportiva Municipal B�sica Parque Arroyo Fresno			1 Pista Polideportiva1 Pista Baloncesto	Bus: 49		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cee3f106d5835310VgnVCM1000000b205a0aRCRD	VENTISQUERO DE LA CONDESA	AVENIDA	V	43					MADRID	MADRID	28035	MIRASIERRA	FUENCARRAL-EL PARDO	439357	4482915	40.49284296962057	-3.7169069720385446				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4527839	Instalaci�n Deportiva Municipal B�sica Parque Arroyo Pozuelo I			1 Pistas de baloncesto 1 Pista de baloncesto 3x3 1 Pista de f�tbol sala Tenis de mesa	Bus: 160 , 161 , I		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a23f1d46adf0110VgnVCM1000000b205a0aRCRD	ARROYO DE POZUELO	CALLE	V	10					MADRID	MADRID	28023	ARAVACA	MONCLOA-ARAVACA	434463	4478158	40.451500510488586	-3.772885180717082				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol	 
4628264	Instalaci�n Deportiva Municipal B�sica Parque Boadilla			1 Pista polideportiva1 Pista de baloncesto1 Pista de petanca	Bus: 25 , 36 , 39 , 65		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0d5dc38d4884110VgnVCM1000000b205a0aRCRD	BOADILLA DEL MONTE	CARRETERA	V	1					MADRID	MADRID	28024	CAMPAMENTO	LATINA	435046	4472514	40.39882092157157	-3.76670867691338				/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas	 
